gram,harga
1,75
2,15
3,25
4,3
5,375
6,45
7,525
8,6
9,675
10,75
11,825
12,9
13,975
14,105
15,1125
16,12
17,1275
18,135
19,1425
20,15
21,1575
22,165
23,1725
24,18
25,1875
26,195
27,2025
28,21
29,2175
30,225
31,2325
32,24
33,2475
34,255
35,2625
36,27
37,2775
38,285
39,2925
40,3
41,3075
42,315
43,3225
44,33
45,3375
46,345
47,3525
48,36
49,3675
50,375
51,3825
52,39
53,3975
54,405
55,4125
56,42
57,4275
58,435
59,4425
60,45
61,4575
62,465
63,4725
64,48
65,4875
66,495
67,5025
68,51
69,5175
70,525
71,5325
72,54
73,5475
74,555
75,5625
76,57
77,5775
78,585
79,5925
80,6
81,6075
82,615
83,6225
84,63
85,6375
86,645
87,6525
88,66
89,6675
90,675
91,6825
92,69
93,6975
94,705
95,7125
96,72
97,7275
98,735
99,7425
100,75
